"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","05/11/2022","4:45 PM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOiseS4_30plex_plate5_20220511"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_30plex_new"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","5/12/2022 6:17:40 PM"
"BatchStopTime","5/12/2022 7:19:45 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","30"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 05/09/2022 12:07:47"
"Last VER Verification","Passed 05/09/2022 12:08:49"
"Last Fluidics Test","Passed 05/09/2022 12:10:09"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B83445","09/15/2022","5/9/2022 12:07:47 PM","26","26","26","26","163","205","310","310","0.00721","0.0071","0.00394","0.11668","Pass","MAGPX16145704"


"Samples","96","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"62(1,F2)","Unknown14","10.51","18.75","11.06","17.66","15.3","11.92","14.09","8.78","9.84","8.2","9.01","7.99","18.11","12.21","4.66","4.08","12.7","7.71","6.95","3.63","7.6","8.09","8.99","4.77","10.19","7.82","9.01","8.68","5.93","9.83","1739"
"63(1,F3)","Unknown22","8.23","14.15","10.52","11.66","14.33","9.03","6.93","22.37","10.38","11.29","5.35","7.47","7.47","9.8","6.49","5.21","17.51","6.2","5.63","4.91","13.16","9.24","8.39","4.86","7.61","7.62","5.77","12.25","4.7","8.69","1856"
"64(1,F4)","Unknown30","15.44","18.43","13.58","11.59","10.98","14.07","17.59","16.38","21.78","10.96","10.99","22.13","7.55","7.62","5.08","4.69","21.3","7","10.31","8.81","12.74","8.9","12.92","5.56","8.09","11.86","10.19","14.21","6.06","13.07","1533"
"65(1,F5)","Unknown38","13.72","9.7","15.87","13.11","11.25","18.57","12.33","12.7","13.09","11.2","9.24","8.37","9.5","12.61","5.71","5.36","13.46","10.32","8.04","4.86","9.49","10.3","9.62","5.61","6.82","13.53","11.21","12.45","4.71","10.14","1784"
"66(1,F6)","Unknown46","10.64","10.04","11.27","14.74","11.51","13.92","14.65","13.35","11.04","13.22","7.4","5.87","8.67","10.02","4.78","4.02","11.43","9.08","6.33","6.71","12.08","8.06","8.57","5.89","8.39","9.79","12.52","13.3","4.27","14.84","1725"
"67(1,F7)","Unknown54","27.1","11.22","10.61","7.26","13.17","8.74","8.41","17.09","23.69","7.75","24.53","20.43","7.22","6.43","20.83","26.14","10.1","6.95","19.18","18.92","9.4","8.07","16.87","20.34","5.83","13.56","20.56","24.02","17.81","12.97","1476"
"68(1,F8)","Unknown62","18.4","16.8","9.54","10.42","12.12","13.24","13.51","15.6","26.16","9.54","14.5","16.48","8.05","14.82","5.14","7.66","13.08","11.64","7.76","5.23","10.45","6.59","12.54","12.18","6.04","18.73","18.06","15.2","5.57","14.34","1715"
"69(1,F9)","Unknown70","17.33","15.97","14.89","22.97","10.74","12.82","14.21","10.52","23.21","8.87","9.04","9.2","13.06","9.25","5.74","5.98","13.93","7.27","10.41","5.45","14.59","10.54","12.76","7.31","12.58","9.39","10.19","23.5","5.83","9.51","1727"
"70(1,F10)","Unknown78","10.4","14.23","12.28","11.19","11.74","17.44","12.06","16.8","10.42","11.8","10.07","8.64","8.38","8.57","4.88","5.5","10.48","7.57","8.29","5.91","16.03","6.68","11.41","4.59","12.83","10.7","8.9","16.69","4.69","10.26","1751"
"71(1,F11)","Unknown86","12.7","10.66","12.48","11.82","13.76","11.29","13.49","7.06","11.39","11.59","7.2","6.38","8.79","8.4","4.56","5.87","16.91","7.03","4.89","5.81","15.05","12.32","11.75","5.44","8.84","9.81","11.21","14.21","4.74","11.02","1930"
"72(1,F12)","Unknown94","19.18","12.78","8.57","12.53","10.91","16.42","13.29","17.07","15.98","9.21","8.84","10","9.32","7.97","4.56","5.52","14.9","10.35","10.92","6.47","15.7","7.93","15.43","5.78","7.6","14.14","11.74","11.7","5.87","15.54","1309"
"73(1,G1)","Unknown7","12.52","10.42","9.45","10.83","13.33","15.42","13.93","29.96","9.56","14.43","8.58","7.38","10.59","11.6","4.45","5.3","10.69","9.94","8.29","4.7","9.69","9.44","7.77","4.71","7.36","17.55","7.85","18.81","4.96","9.76","1542"
"74(1,G2)","Unknown15","12.59","15.79","10.64","10.19","21.58","18.67","13.2","23.55","9.83","7.31","9.92","7.07","9.7","8.43","5.9","9.56","20.1","12.57","7.27","5.51","12.75","11.81","9.68","6.41","16.64","14.23","6.96","17.05","4.26","11.65","1618"
"75(1,G3)","Unknown23","8.48","14.96","10.32","11.91","15.74","21.63","13.43","13.67","8.3","12.36","11.03","8.16","7.41","16.27","6","4.39","12.34","7.18","10.02","4.98","8.07","9.23","10.42","6.75","6.48","13.51","9.19","16.86","6.17","12.57","1855"
"76(1,G4)","Unknown31","9.01","18.32","8.24","19.13","20.68","13.26","12.01","13.92","11.7","11.87","11.2","10.23","9.29","14.62","5","4.59","14.02","8.9","24.52","6.29","12.06","19.19","12.47","4.31","10.51","10.54","6.97","13.4","5.78","11.81","1556"
"77(1,G5)","Unknown39","14.03","12.88","11.41","12.92","19.54","17.91","13.55","18.98","16.29","11.53","11.44","8.14","9.33","9.82","5.92","6.42","16.77","8.51","18.08","6.07","9.71","7.11","11.84","5.48","8.76","16.6","11.29","13.68","5.75","19.34","1698"
"78(1,G6)","Unknown47","14.19","14.47","10.21","12.91","10.5","18.72","11.09","10.29","14.67","14.09","12.16","11.54","12.07","8.77","5.9","6.15","13.42","9.34","10.27","5.67","11.41","5.7","13.29","6.6","8.16","17.54","9.91","16.15","5.68","13.19","1720"
"79(1,G7)","Unknown55","39.54","11.63","11.92","13.14","10.36","6.68","12","16.96","18.04","6.02","17.15","19.24","7.35","8","5.32","9.14","10.06","6.58","5.53","6.36","9.32","5.43","13.74","10","9.35","13.88","17.33","19.01","6.84","21.85","1747"
"80(1,G8)","Unknown63","13.73","15.46","15.78","21.9","12.35","15.47","22.35","15.64","18.19","13.37","7.02","18.84","9.07","26.63","4.72","6.25","23.87","15.59","11.87","8.58","16.51","8.27","12.31","4.93","15.32","32.33","11.17","12.64","6.91","13.97","1551"
"81(1,G9)","Unknown71","25.79","13.92","11.13","12.37","10.7","14.96","11.78","13.91","21.81","8.27","16.12","11.97","8.62","11.46","4.97","8.82","14.79","7.72","7.87","6.02","9.54","6.01","13.16","9.5","6.81","10.71","16","16.24","5.56","16.93","1843"
"82(1,G10)","Unknown79","16.34","15.09","8.9","8.94","7.26","15.94","11.59","35.39","11.22","12.94","9.7","8.99","8.86","8.46","5.19","5.32","20.33","9.11","5.04","6.09","12.64","8.59","12.05","3.91","8.69","10.61","8.13","17.52","4.84","14.38","1633"
"83(1,G11)","Unknown87","12.01","14.68","11.31","11.67","13.79","9.86","14.67","17.36","14.33","9.83","12.26","7.3","6.76","10.25","5.09","6.28","17.65","7.54","5.27","4.56","9.73","10.8","8.32","4.85","9.34","10.23","10.28","14.94","6.11","12.29","1640"
"84(1,G12)","Unknown95","12.87","12.34","11.14","11.37","12.45","14.19","13.38","17.83","21.04","7.7","13.46","10.91","8.3","9.59","7.73","5.5","26.61","8.98","6.64","7.68","11.42","11.04","13.28","5.59","9.89","21.5","11.74","19.75","5.55","16.2","1591"
"85(1,H1)","Unknown8","10.74","14.93","9.49","12.09","8.63","13.58","10.88","16.49","26.46","10.18","15.75","7.58","7.87","9.29","5.24","4.43","13.48","7.36","14.06","6.68","11.47","12.98","13.47","6.19","8.36","17.45","10.36","13.27","5.75","14.68","1755"
"86(1,H2)","Unknown16","17.68","15.49","7.08","8.08","10.56","12.6","15.67","17.15","22.92","12.11","15.36","11.1","12.57","8.94","5.16","6.86","17.94","10.96","18.5","6.47","15.89","12.17","12.43","6.22","11.76","17.13","11.57","19.87","8.48","24.82","1701"
"87(1,H3)","Unknown24","15.44","13.8","9.55","14.25","10.35","13.22","10.79","22.2","13.58","19.81","7.85","6.82","10.42","8.11","4.61","5.52","15.16","10.53","11","6.02","12.27","12.17","10.53","5.37","7.22","9.15","9.14","13.17","6.37","10.64","1860"
"88(1,H4)","Unknown32","14.45","14.72","10.64","9.2","10.77","16.36","13.97","20.75","14.62","9.53","14.46","15.54","10.3","10.21","5.95","5.92","19.15","9.02","18.71","12.73","15.09","6.68","15.29","7.16","6.46","20","13.32","19.11","5.01","11.88","1781"
"89(1,H5)","Unknown40","10.33","18.95","15.37","14.83","12.39","11.45","19.14","19.17","14.3","9.61","9.78","6.5","12.35","8.04","6.53","4.76","16.57","21.28","17.93","4.62","14.85","11.12","14.34","19.47","7.08","9.57","7.29","19.55","5.71","12.88","1779"
"90(1,H6)","Unknown48","10.14","16.04","10.19","10.53","10.19","14.66","12.92","28.49","22.67","19.32","10.38","7.12","9.13","8.42","5.61","11.79","19.2","6.66","14.28","6.99","11.21","17.04","12.22","5.8","7.54","11.29","17.1","24.84","5.09","13.1","1760"
"91(1,H7)","Unknown56","20.8","15.24","18.97","11.02","11.95","8.68","9.15","23.68","21.04","9.35","9.47","12.72","11.73","9.59","6.53","6.61","14.37","10.32","21.55","6.99","13.25","9.53","12.94","8.17","11.39","21.41","14.48","20.36","19.77","15.32","1881"
"92(1,H8)","Unknown64","14.7","19.44","9.46","11.35","9.98","9.91","8.36","9","13.67","10.53","8.28","6.75","6.79","14.23","5.15","5.13","14.55","15.12","7.2","5.65","14.58","9.56","10.98","5.37","11.72","15.8","9.33","18.98","6.06","13.94","1884"
"93(1,H9)","Unknown72","13.43","16.19","13.85","9.34","11.26","12.6","11.93","7.3","14.07","10.79","7.45","6.54","10.21","15.27","5.57","5.07","13.71","6.3","9.86","5.16","11.68","7.54","12.17","5.96","9.42","8.74","13.06","15.58","5.38","12.04","1849"
"94(1,H10)","Unknown80","17.01","11.06","10.29","9.91","9.59","10.21","9.01","13.24","16.96","7.64","10.54","12.39","8.26","12.66","6.8","6.77","10.83","7.63","6.18","7.67","8.07","9.17","10.55","9.96","7.32","11.99","13.18","20.78","5.48","14.12","1677"
"95(1,H11)","Unknown88","14","16.49","11.18","10.69","15.22","15.47","14.44","20.22","18.91","10.13","10.88","8.37","8.36","10.06","8.58","6.07","18.56","7.91","15.51","7.54","10.82","11.41","10.52","5.19","9.9","16.65","16.71","17.84","4.67","18.64","1858"
"96(1,H12)","Unknown96","22.63","11","7.2","13.29","9.83","15.67","9","15.38","14.88","10.32","20.05","14.37","11.81","10.15","6.17","9.43","18.98","8.98","8.29","6.34","9.9","11.85","13.8","7.29","6.66","11.3","13.48","11.57","3.55","13.53","1392"

"DataType:","Trimmed Peak"
"Location","Sample","Spike_6P","ME","HKU1_S","OC43_NP","OC43_S","HKU1_NP","229E_NP","Mumps_NP","RBD_B16171","NL63_NP","RBD_B16172","RBD_wuhan","NL63_S","229E_S","Spike_B16172","Spike_B117","Measles_NP","Ade5","NP","Spike_P1","Rub","Ade40","RBD_B117","Spike_B1351","FluA","RBD_B1351","RBD_P15","S2","Spike_omicron","RBD_omicron","Total Events"
"1(1,A1)","B","20","32","23","24","41","28","36","43","26","28","13","32","38","36","28","36","23","28","28","40","45","32","28","28","19","24","22","32","41","39","1692"
"2(1,A2)","S","14460","1109","5022","4464","4247","2616","1890","769","1740","4271","2612","6987","1422","4638","8884","12319","1420","19294","18610","12325","4110","5418","1971","8934","6679","978","1725","2963","2731","1252","1588"
"3(1,A3)","S","8887","535","2505","2225","2137","1414","1076","315","906","2605","1410","3499","737","2126","5217","7540","709","12795","11336","7269","1958","2407","905","5428","3076","434","797","2055","1414","596","1747"
"4(1,A4)","S","6942","452","1539","1301","1254","975","940","207","513","2048","765","2420","432","1430","3336","5421","454","10067","8514","5234","1605","1678","579","4117","2119","265","548","1199","1024","382","1585"
"5(1,A5)","S","4448","224","901","767","678","532","555","99","235","1408","369","1415","226","765","1954","3068","276","6694","5694","2722","863","943","288","2126","1066","137","234","709","454","216","1432"
"6(1,A6)","S","2203","132","470","402","341","339","382","87","131","861","190","708","127","400","1158","1883","137","4410","2851","1667","531","509","149","1257","556","77","111","325","267","121","1893"
"7(1,A7)","S","1251","87","277","234","217","208","242","57","73","554","92","382","87","253","682","1115","78","2400","1802","1029","324","289","87","832","313","53","63","208","163","77","1540"
"8(1,A8)","S","766","63","149","149","132","117","149","58","49","314","53","215","63","155","399","601","62","1358","985","532","209","175","63","470","182","41","49","148","107","51","1795"
"9(1,A9)","S","416","55","98","77","84","77","77","57","38","183","36","127","51","99","208","338","41","799","532","299","122","115","41","288","95","41","35","71","77","58","1916"
"10(1,A10)","S","243","45","71","60","74","57","66","45","32","117","28","103","41","73","131","199","32","452","288","177","103","84","38","191","77","35","28","53","65","53","1518"
"11(1,A11)","S","162","55","62","62","73","63","71","70","45","103","36","71","55","87","100","132","41","325","225","132","77","81","47","177","60","45","36","62","63","49","1726"
"12(1,A12)","S","36","32","32","36","43","32","36","49","26","34","16","36","36","45","36","45","25","80","63","55","63","41","28","43","28","27","24","31","38","36","1861"
"13(1,B1)","Unknown2","20800","397","301","1158","1482","557","1203","419","5962","2742","7857","11317","801","399","17831","19319","382","19212","246","17783","5227","2218","6392","16373","2049","4654","6711","3921","10127","6663","1534"
"14(1,B2)","Unknown10","25626","301","2400","1027","1945","680","325","163","7017","401","9681","12804","453","1882","17794","22717","1115","11799","176","18533","1410","3912","7861","15752","9662","5900","8215","3218","12838","8553","1759"
"15(1,B3)","Unknown18","25695","452","4277","433","2299","533","1063","255","8488","1359","10465","14469","532","4446","22729","24661","1311","17031","600","22571","2302","6920","7835","20104","3340","7501","9224","6172","14481","10408","1980"
"16(1,B4)","Unknown26","26824","739","1888","289","340","383","511","577","10399","831","11787","16446","1538","3061","24679","26730","255","15007","772","24726","1538","2834","9659","21715","6968","9614","11768","6167","18514","10088","1604"
"17(1,B5)","Unknown34","13403","223","1303","339","225","383","630","117","2515","1666","2942","5900","353","1155","9667","11887","111","7020","276","9260","1110","1264","2960","8559","768","1111","1531","2062","3074","1315","1804"
"18(1,B6)","Unknown42","13889","512","940","708","553","578","1548","902","2310","598","3339","6429","2229","10096","10458","12857","767","6443","2222","11350","2312","531","3181","8884","6157","2307","2825","2221","4441","2046","1759"
"19(1,B7)","Unknown50","24618","418","1745","357","451","276","603","183","8826","245","9648","12880","551","1020","21813","23577","177","11824","737","21753","2141","5641","7827","20029","1315","6978","8851","5724","13879","8537","1583"
"20(1,B8)","Unknown58","13918","470","2055","798","2151","399","339","161","3771","1350","3620","7550","630","2224","9614","15724","1149","15188","266","15718","3351","1547","4458","11313","2421","3218","4824","2138","8190","5703","1642"
"21(1,B9)","Unknown66","21012","286","1407","631","418","433","630","170","4632","1667","5902","10479","577","3106","13932","18459","457","4830","155","15166","2510","276","5901","13956","2726","4785","5909","1962","8885","7541","1381"
"22(1,B10)","Unknown74","28989","602","2611","836","1020","868","2130","225","11778","2136","12283","16429","683","4288","22728","26684","227","4823","602","24742","2966","654","10900","22775","1417","10865","13370","5199","19164","12744","1356"
"23(1,B11)","Unknown82","834","288","5048","400","802","274","325","703","226","255","287","311","601","7288","1967","8557","144","23646","2045","11373","3320","9645","176","6679","1899","206","287","2402","10041","1971","1623"
"24(1,B12)","Unknown90","26754","401","4641","681","1547","1420","1253","682","10066","2414","9658","13907","651","832","20974","21893","267","12871","2223","21835","1822","2395","8867","20981","1201","8479","10889","3110","17743","11362","1263"
"25(1,C1)","Unknown3","23644","529","1357","469","489","276","492","143","6955","200","8165","12363","471","2851","20209","21790","338","11879","370","21729","1490","630","6942","18481","2325","5443","7236","5218","13349","6697","1523"
"26(1,C2)","Unknown11","6682","574","1729","599","860","1026","1416","357","2845","4293","3656","2839","604","1116","11797","7229","192","13932","8159","6702","945","2133","977","6691","2961","871","1109","1800","2820","863","1389"
"27(1,C3)","Unknown19","26763","653","948","2732","761","652","977","155","10072","2053","10478","15091","911","2325","21791","23613","253","6984","2221","20999","650","2134","9582","21760","1200","8886","12327","2821","18540","13302","1629"
"28(1,C4)","Unknown27","26736","872","2308","469","557","654","650","176","11373","2132","12836","16516","628","2213","23640","27914","991","5469","2237","25694","2051","1422","11762","24710","1360","10938","13401","9629","19385","11873","1617"
"29(1,C5)","Unknown35","18472","276","1203","257","1142","182","575","132","5260","579","6141","9628","509","1669","14526","18433","632","8140","162","16905","1660","1109","5883","13941","1356","5000","7252","2934","12784","7556","1430"
"30(1,C6)","Unknown43","27868","1534","2310","734","1481","875","798","143","12342","1417","14538","16455","471","4124","24764","27888","705","4620","5709","29023","2935","1208","10420","23571","5500","10019","12834","10060","17795","12290","1572"
"31(1,C7)","Unknown51","7499","245","1542","216","1371","452","902","77","1668","2129","1868","5671","368","2218","3323","9977","414","18449","264","9663","713","1878","2224","6394","1068","2217","2525","1114","4592","4272","1444"
"32(1,C8)","Unknown59","8216","527","981","1599","804","679","1155","132","2041","2504","2306","5005","450","5696","6392","12283","199","5212","175","12894","1736","1027","2133","8859","2314","2044","2501","2311","3921","4126","1855"
"33(1,C9)","Unknown67","27864","680","1602","1747","5902","579","734","185","9324","1954","9634","13898","682","5460","22577","24664","1307","13994","1206","25504","3491","7578","8202","21712","2504","7595","10067","6954","15759","8440","1731"
"34(1,C10)","Unknown75","25676","266","2045","449","915","452","656","138","8908","1972","10084","14481","492","112","20939","24466","77","6691","191","24546","1886","1256","7882","18535","835","7272","10517","3323","13844","11804","1796"
"35(1,C11)","Unknown83","62","312","767","382","175","385","654","225","156","1372","127","143","383","624","111","133","183","13434","150","110","678","5459","155","354","911","127","156","155","131","127","1793"
"36(1,C12)","Unknown91","21776","946","1420","1608","1152","738","982","1370","6707","2634","7825","12317","513","1677","19245","21748","983","12367","6149","20151","1481","1156","6367","17757","738","6389","8447","4448","13396","10047","1492"
"37(1,D1)","Unknown4","24829","256","1157","710","707","450","183","207","6427","769","7233","10932","1475","2960","16383","20857","117","17046","287","18460","1881","4831","6417","15712","370","6187","6991","2845","9646","6472","1732"
"38(1,D2)","Unknown12","13413","714","713","1211","1159","267","142","126","1877","434","2222","5717","265","983","9284","13340","263","11771","13282","13917","1302","489","2827","11387","384","2409","3090","3972","7541","2616","1841"
"39(1,D3)","Unknown20","625","313","768","1423","1483","399","2136","244","177","402","192","244","367","5006","1363","1961","233","13892","1020","2217","1022","2399","178","1749","941","163","176","1113","6184","838","1988"
"40(1,D4)","Unknown28","28930","2522","1201","1314","416","276","942","416","9245","266","11718","16396","1107","3809","24707","27859","627","13304","22624","24741","1358","1359","9691","22659","979","9246","10947","6412","19144","11802","1564"
"41(1,D5)","Unknown36","24693","678","471","862","1157","706","871","132","8856","1960","9626","13839","1105","944","20921","23706","156","18537","1661","19450","804","6924","8200","20086","1200","8894","10940","1119","17775","12259","1676"
"42(1,D6)","Unknown44","13930","468","1974","904","1969","834","2044","353","4998","5000","6149","8486","1251","1894","12386","13341","2512","10453","1476","12377","3603","2309","5639","11841","10090","4442","6183","2745","6664","2052","1686"
"43(1,D7)","Unknown52","23514","169","1487","175","169","143","143","132","5441","167","8168","13310","288","4813","16383","21797","628","2939","121","17697","2727","2320","6963","11838","383","5434","6168","2603","10079","8852","1455"
"44(1,D8)","Unknown60","25776","655","2406","601","1751","942","1257","133","7918","2952","8938","14436","490","1893","17679","23692","451","12741","803","20133","1966","5198","8468","18504","1310","8221","10070","2967","17926","13898","1698"
"45(1,D9)","Unknown68","16400","631","1468","5237","2205","2064","556","162","3476","1421","4263","8220","266","984","12310","15702","469","2509","1546","13860","1738","650","4270","12796","1817","2852","4232","2334","7898","5222","1574"
"46(1,D10)","Unknown76","26616","802","2319","575","1206","1028","1261","434","12824","2320","15642","16377","1026","2730","23606","25760","575","19343","4647","23676","155","2836","11800","23700","4818","13274","14566","5238","21787","17022","1768"
"47(1,D11)","Unknown84","796","1017","2298","1153","1261","1601","1306","1166","763","2302","762","1162","1417","508","1419","2826","840","17050","4095","4257","1203","13385","552","2522","1203","630","561","1365","6976","2050","1415"
"48(1,D12)","Unknown92","17096","246","905","371","1305","236","1067","2233","4605","370","5649","8888","199","4276","12283","18465","5256","8862","340","18566","2931","3089","5247","12842","4066","3777","5471","3346","8857","6969","1528"
"49(1,E1)","Unknown5","23598","579","2304","398","1206","579","578","399","4450","1108","7204","10500","1303","1107","17026","18582","604","14538","3342","16396","2622","2034","6381","13354","3918","3220","4831","3089","11830","5657","1727"
